-0.17952+1.6441i
0.018918+1.7984i
0.30947+2.2341i
0.51929+1.8599i
0.84312+1.9201i
1.3164+2.0965i
1.3202+1.5326i
1.7702+1.5168i
1.9676+1.2303i
1.7945+0.78671i
1.7709+0.49689i
1.6691+0.2371i
2.4008+0.039738i
2.1743-0.21836i
2.0525-0.43546i
1.5488-0.49753i
1.5004-0.64503i
1.0982-0.59319i
1.0149-0.6638i
1.2571-0.97255i
1.0636-0.95837i
0.79853-0.82989i
1.148-1.3676i
0.98112-1.3358i
0.84194-1.3095i
0.61116-1.0879i
0.50465-1.0327i
0.44894-1.0637i
0.45573-1.2634i
0.28752-0.94668i
0.30983-1.2376i
0.24384-1.2188i
0.148-0.97101i
0.1249-1.1667i
0.069493-1.09i
0.032218-1.4495i
-0.019558-1.1141i
-0.060289-1.0808i
-0.09578-1.0355i
-0.14503-1.1355i
-0.19775-1.2247i
-0.2853-1.4734i
-0.25768-1.1494i
-0.23543-0.93053i
-0.33283-1.189i
-0.3543-1.1624i
-0.48891-1.4931i
-0.37477-1.0781i
-0.39553-1.0833i
-0.46183-1.2161i
-0.46208-1.1807i
-0.48713-1.2187i
-0.43676-1.079i
-0.46103-1.1342i
-0.61809-1.5264i
-0.34386-0.85913i
-0.52489-1.3366i
-0.47579-1.2434i
-0.39829-1.0748i
-0.48723-1.3648i
-0.53096-1.5501i
-0.40971-1.2499i
-0.3517-1.1223i
-0.34622-1.1545i
-0.35669-1.2394i
-0.40561-1.4611i
-0.28963-1.0741i
-0.3695-1.3984i
-0.31372-1.1997i
-0.29767-1.1378i
-0.24873-0.93973i
-0.26186-0.96758i
-0.27467-0.98268i
-0.2706-0.92909i
-0.3281-1.0729i
-0.29588-0.91581i
-0.33178-0.96706i
-0.36087-0.98675i
-0.39772-1.0172i
-0.3791-0.90489i
-0.33836-0.75266i
-0.40518-0.83917i
-0.39341-0.75803i
-0.45488-0.81506i
-0.44524-0.74164i
-0.44478-0.68851i
-0.53362-0.76736i
-0.50707-0.67711i
-0.53574-0.66391i
-0.54796-0.62966i
-0.57961-0.61693i
-0.63623-0.62639i
-0.59399-0.53996i
-0.6176-0.5172i
-0.59853-0.46047i
-0.73228-0.51574i
-0.69557-0.44654i
-0.70906-0.41267i
-0.72209-0.37845i
-0.76763-0.35923i
-0.74529-0.30806i
-0.74627-0.2686i
-0.9351-0.28752i
-0.79492-0.2033i
-0.67129-0.13727i
-0.94552-0.14508i
-0.91513-0.093655i
-0.90366-0.046i
-0.83086+0.00098691i
-0.80224+0.043512i
-0.85045+0.09238i
-0.88172+0.14532i
-1.0677+0.23838i
-0.98265+0.27972i
-0.81673+0.28562i
-1.1386+0.47751i
-1.0115+0.50054i
-0.97605+0.56395i
-0.94858+0.63585i
-0.89627+0.69503i
-1.0369+0.93065i
-0.97296+1.0148i
-0.71977+0.87966i
-1.0367+1.5052i
-0.80379+1.4173i
-0.51592+1.1445i
-0.52374+1.553i
-0.34569+1.5418i
